System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:25:31:426, 181407451363288,    0.106,   22.000, 3900,  36.310,   3.837,   1.066,  29.713,   3.140,   0.872, 92,  0,   2.282,   0.241,   0.067,   4.848,   0.512,   0.142,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:31:551, 181407727780488,    0.231,   15.000, 3400,  25.624,   7.044,   1.957,  19.553,   5.587,   1.552, 96,  0,   1.587,   0.440,   0.122,   4.764,   1.109,   0.308,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:31:676, 181408003511691,    0.356,   20.000, 3400,  26.137,  10.308,   2.863,  19.949,   8.079,   2.244, 96,  0,   1.761,   0.660,   0.183,   4.762,   1.703,   0.473,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:31:784, 181408242447575,    0.464,   22.000, 3600,  31.998,  13.771,   3.825,  25.974,  10.889,   3.025, 97,  0,   1.719,   0.846,   0.235,   4.732,   2.216,   0.615,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:31:943, 181408592147602,    0.622,   19.000, 3900,  33.966,  19.150,   5.320,  27.762,  15.286,   4.246, 94,  0,   2.007,   1.164,   0.323,   4.755,   2.969,   0.825,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:32:093, 181408923529295,    0.772,   17.000, 3900,  20.937,  22.293,   6.192,  14.812,  17.509,   4.864, 80,  0,   1.588,   1.402,   0.389,   4.822,   3.692,   1.026,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:32:224, 181409212687369,    0.903,   21.000, 3700,  32.437,  26.541,   7.372,  26.114,  20.929,   5.814, 97,  0,   1.843,   1.643,   0.456,   4.783,   4.319,   1.200,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:32:373, 181409543725534,    1.053,   22.000, 3900,  33.899,  31.623,   8.784,  27.481,  25.049,   6.958, 85,  0,   1.921,   1.931,   0.536,   4.791,   5.037,   1.399,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:32:391, 181409599914139,    1.079,   91.000, 3900,  38.275,  32.597,   9.055,  31.146,  25.842,   7.178, 91,  0,   2.773,   2.002,   0.556,   4.804,   5.159,   1.433,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.078735
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 32.596863
Cumulative Processor Energy_0 (mWh) = 9.054684
Average Processor Power_0 (Watt) = 30.217673

Cumulative IA Energy_0 (Joules) = 25.841858
Cumulative IA Energy_0 (mWh) = 7.178294
Average IA Power_0 (Watt) = 23.955704

Cumulative DRAM Energy_0 (Joules) = 2.001709
Cumulative DRAM Energy_0 (mWh) = 0.556030
Average DRAM Power_0 (Watt) = 1.855608

Cumulative GT Energy_0 (Joules) = 5.159241
Cumulative GT Energy_0 (mWh) = 1.433122
Average GT Power_0 (Watt) = 4.782676
