System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:25:32:622, 181410092377932,    0.111,   29.000, 3900,  39.032,   4.335,   1.204,  32.455,   3.604,   1.001, 85,  0,   2.262,   0.251,   0.070,   4.968,   0.552,   0.153,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:32:775, 181410429513447,    0.264,   20.000, 3300,  28.970,   8.758,   2.433,  22.779,   7.082,   1.967, 95,  0,   1.808,   0.527,   0.146,   4.856,   1.293,   0.359,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:32:899, 181410704830481,    0.388,   13.000, 3900,  24.538,  11.818,   3.283,  18.324,   9.367,   2.602, 94,  0,   1.585,   0.725,   0.201,   4.790,   1.890,   0.525,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:33:011, 181410952443404,    0.501,   15.000, 3900,  27.090,  14.856,   4.127,  20.923,  11.714,   3.254, 88,  0,   1.673,   0.912,   0.253,   4.809,   2.430,   0.675,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:33:122, 181411197108101,    0.611,   14.000, 3900,  28.177,  17.978,   4.994,  21.864,  14.136,   3.927, 81,  0,   1.742,   1.106,   0.307,   4.843,   2.966,   0.824,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:33:280, 181411544464953,    0.769,   11.000, 3900,  22.632,  21.538,   5.983,  16.705,  16.764,   4.657, 78,  0,   1.442,   1.332,   0.370,   4.650,   3.698,   1.027,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:33:449, 181411918977784,    0.938,   25.000, 3900,  31.598,  26.898,   7.472,  25.641,  21.113,   5.865, 82,  0,   2.080,   1.685,   0.468,   4.377,   4.440,   1.233,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:33:449, 181411920091307,    0.939,   21.000, 3900,  60.392,  26.928,   7.480,  34.977,  21.131,   5.870, 82,  0,   3.147,   1.687,   0.469,   4.115,   4.442,   1.234,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.938822
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 26.928162
Cumulative Processor Energy_0 (mWh) = 7.480045
Average Processor Power_0 (Watt) = 28.682918

Cumulative IA Energy_0 (Joules) = 21.130920
Cumulative IA Energy_0 (mWh) = 5.869700
Average IA Power_0 (Watt) = 22.507903

Cumulative DRAM Energy_0 (Joules) = 1.686829
Cumulative DRAM Energy_0 (mWh) = 0.468564
Average DRAM Power_0 (Watt) = 1.796750

Cumulative GT Energy_0 (Joules) = 4.442322
Cumulative GT Energy_0 (mWh) = 1.233978
Average GT Power_0 (Watt) = 4.731803
