System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:25:33:725, 181412528801934,    0.131,   49.000, 3300,  44.955,   5.895,   1.638,  39.125,   5.131,   1.425, 96,  0,   2.569,   0.337,   0.094,   4.124,   0.541,   0.150,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:33:840, 181412781821846,    0.246,   24.000, 3500,  33.191,   9.699,   2.694,  27.411,   8.272,   2.298, 97,  0,   1.963,   0.562,   0.156,   4.040,   1.004,   0.279,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:33:991, 181413115525709,    0.397,   27.000, 3500,  31.439,  14.450,   4.014,  26.474,  12.273,   3.409, 94,  0,   1.999,   0.864,   0.240,   3.485,   1.530,   0.425,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:34:116, 181413391394803,    0.522,   16.000, 3900,  26.173,  17.720,   4.922,  21.430,  14.950,   4.153, 81,  0,   1.689,   1.075,   0.299,   3.332,   1.947,   0.541,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:34:247, 181413680146766,    0.653,   22.000, 3900,  32.986,  22.034,   6.121,  28.054,  18.619,   5.172, 81,  0,   1.941,   1.329,   0.369,   3.414,   2.393,   0.665,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:34:366, 181413943603717,    0.772,   19.000, 3900,  29.118,  25.508,   7.086,  24.470,  21.539,   5.983, 85,  0,   1.902,   1.556,   0.432,   3.178,   2.772,   0.770,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:34:482, 181414198669268,    0.887,   21.000, 3900,  31.712,  29.172,   8.103,  26.634,  24.616,   6.838, 87,  0,   1.995,   1.786,   0.496,   3.610,   3.189,   0.886,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:34:584, 181414423547388,    0.989,   21.000, 3900,  33.018,  32.534,   9.037,  26.970,  27.362,   7.601, 93,  0,   2.159,   2.006,   0.557,   4.672,   3.665,   1.018,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:34:584, 181414426371439,    0.991,   17.000, 3900,  62.323,  32.614,   9.059,  37.079,  27.410,   7.614, 91,  0,   4.724,   2.012,   0.559,   5.345,   3.672,   1.020,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.990541
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 32.614075
Cumulative Processor Energy_0 (mWh) = 9.059465
Average Processor Power_0 (Watt) = 32.925509

Cumulative IA Energy_0 (Joules) = 27.409912
Cumulative IA Energy_0 (mWh) = 7.613864
Average IA Power_0 (Watt) = 27.671652

Cumulative DRAM Energy_0 (Joules) = 2.012207
Cumulative DRAM Energy_0 (mWh) = 0.558946
Average DRAM Power_0 (Watt) = 2.031422

Cumulative GT Energy_0 (Joules) = 3.672119
Cumulative GT Energy_0 (mWh) = 1.020033
Average GT Power_0 (Watt) = 3.707185
