System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:25:34:808, 181414920262492,    0.123,   32.000, 3900,  42.076,   5.172,   1.437,  35.277,   4.337,   1.205, 83,  0,   2.451,   0.301,   0.084,   4.897,   0.602,   0.167,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:34:933, 181415194394652,    0.247,   20.000, 3900,  31.387,   9.069,   2.519,  24.992,   7.439,   2.066, 83,  0,   1.868,   0.533,   0.148,   4.891,   1.209,   0.336,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:35:074, 181415506804180,    0.389,   24.000, 3900,  36.490,  14.232,   3.953,  29.851,  11.663,   3.240, 92,  0,   2.040,   0.822,   0.228,   4.956,   1.910,   0.531,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:35:178, 181415736017315,    0.492,   28.000, 3700,  40.957,  18.484,   5.134,  34.571,  15.252,   4.237, 94,  0,   2.021,   1.032,   0.287,   4.796,   2.408,   0.669,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:35:292, 181415987574550,    0.606,   24.000, 3900,  36.863,  22.684,   6.301,  30.491,  18.726,   5.202, 82,  0,   2.128,   1.274,   0.354,   4.817,   2.957,   0.821,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:35:401, 181416228289471,    0.715,   27.000, 3900,  38.710,  26.904,   7.473,  32.336,  22.251,   6.181, 93,  0,   2.368,   1.532,   0.426,   4.776,   3.478,   0.966,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:35:511, 181416471654378,    0.826,   28.000, 3900,  40.880,  31.409,   8.725,  34.478,  26.051,   7.236, 91,  0,   2.471,   1.805,   0.501,   4.793,   4.006,   1.113,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:35:640, 181416755878258,    0.954,   24.000, 3900,  37.517,  36.239,  10.066,  30.956,  30.036,   8.343, 91,  0,   2.485,   2.125,   0.590,   4.798,   4.624,   1.284,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:35:640, 181416779798949,    0.965,   27.000, 3900,  21.995,  36.477,  10.133,  19.150,  30.243,   8.401, 91,  0,   2.197,   2.148,   0.597,   4.704,   4.675,   1.298,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.965109
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 36.477051
Cumulative Processor Energy_0 (mWh) = 10.132514
Average Processor Power_0 (Watt) = 37.795798

Cumulative IA Energy_0 (Joules) = 30.243164
Cumulative IA Energy_0 (mWh) = 8.400879
Average IA Power_0 (Watt) = 31.336538

Cumulative DRAM Energy_0 (Joules) = 2.148376
Cumulative DRAM Energy_0 (mWh) = 0.596771
Average DRAM Power_0 (Watt) = 2.226046

Cumulative GT Energy_0 (Joules) = 4.674561
Cumulative GT Energy_0 (mWh) = 1.298489
Average GT Power_0 (Watt) = 4.843559
