System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:25:35:875, 181417275299490,    0.101,   21.000, 3900,  34.317,   3.471,   0.964,  27.971,   2.829,   0.786, 85,  0,   2.111,   0.214,   0.059,   4.889,   0.495,   0.137,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:36:017, 181417588725338,    0.243,   36.000, 3900,  30.612,   7.817,   2.171,  24.417,   6.295,   1.749, 89,  0,   1.840,   0.475,   0.132,   4.803,   1.176,   0.327,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:36:168, 181417921730710,    0.394,   29.000, 3900,  38.777,  13.665,   3.796,  32.154,  11.145,   3.096, 87,  0,   2.428,   0.841,   0.234,   4.810,   1.902,   0.528,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:36:290, 181418191409585,    0.516,   14.000, 3900,  26.425,  16.892,   4.692,  20.363,  13.632,   3.787, 80,  0,   1.621,   1.039,   0.289,   4.732,   2.480,   0.689,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:36:399, 181418432723007,    0.625,   24.000, 3900,  36.765,  20.910,   5.808,  30.538,  16.969,   4.714, 95,  0,   2.056,   1.264,   0.351,   4.672,   2.990,   0.831,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:36:533, 181418728522245,    0.759,   37.000, 3900,  45.447,  26.999,   7.500,  38.901,  22.181,   6.161, 90,  0,   2.569,   1.608,   0.447,   4.853,   3.640,   1.011,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:36:669, 181419028880863,    0.895,   19.000, 3900,  31.811,  31.326,   8.702,  25.375,  25.632,   7.120, 82,  0,   1.994,   1.879,   0.522,   4.855,   4.301,   1.195,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:36:799, 181419314829132,    1.025,   15.000, 3700,  27.731,  34.917,   9.699,  21.466,  28.412,   7.892, 96,  0,   1.629,   2.090,   0.581,   4.766,   4.918,   1.366,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:36:831, 181419393878835,    1.061,  178.000, 3900,  23.798,  35.769,   9.936,  19.486,  29.110,   8.086, 94,  0,   1.529,   2.145,   0.596,   4.608,   5.083,   1.412,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.060650
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 35.769348
Cumulative Processor Energy_0 (mWh) = 9.935930
Average Processor Power_0 (Watt) = 33.724000

Cumulative IA Energy_0 (Joules) = 29.110046
Cumulative IA Energy_0 (mWh) = 8.086124
Average IA Power_0 (Watt) = 27.445488

Cumulative DRAM Energy_0 (Joules) = 2.144775
Cumulative DRAM Energy_0 (mWh) = 0.595771
Average DRAM Power_0 (Watt) = 2.022134

Cumulative GT Energy_0 (Joules) = 5.083069
Cumulative GT Energy_0 (mWh) = 1.411964
Average GT Power_0 (Watt) = 4.792411
