System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:25:39:315, 181424870968415,    0.113,   62.000, 3300,  45.174,   5.083,   1.412,  38.302,   4.310,   1.197, 96,  0,   3.010,   0.339,   0.094,   4.947,   0.557,   0.155,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:39:425, 181425112716725,    0.222,   28.000, 3600,  35.332,   8.951,   2.486,  29.121,   7.498,   2.083, 96,  0,   2.109,   0.570,   0.158,   4.856,   1.088,   0.302,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:39:557, 181425404477378,    0.354,   24.000, 3900,  36.327,  13.751,   3.820,  29.618,  11.412,   3.170, 93,  0,   2.099,   0.847,   0.235,   4.877,   1.733,   0.481,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:39:668, 181425650464120,    0.466,   20.000, 3900,  34.616,  17.608,   4.891,  28.469,  14.583,   4.051, 88,  0,   2.044,   1.075,   0.299,   4.778,   2.265,   0.629,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:39:775, 181425885776457,    0.572,   19.000, 3900,  32.171,  21.036,   5.843,  25.779,  17.331,   4.814, 86,  0,   1.936,   1.281,   0.356,   4.763,   2.772,   0.770,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:39:889, 181426138367381,    0.687,   18.000, 3900,  32.803,  24.789,   6.886,  26.649,  20.379,   5.661, 81,  0,   1.955,   1.505,   0.418,   4.764,   3.317,   0.922,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:40:031, 181426450877224,    0.828,   19.000, 3600,  28.472,  28.819,   8.005,  22.273,  23.532,   6.537, 97,  0,   1.737,   1.751,   0.486,   4.686,   3.981,   1.106,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:40:156, 181426727805637,    0.953,   13.000, 3900,  25.049,  31.960,   8.878,  19.072,  25.924,   7.201, 78,  0,   1.731,   1.968,   0.547,   4.610,   4.559,   1.266,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:40:290, 181427024066990,    1.088,    6.000, 2200,  15.160,  33.994,   9.443,   9.226,  27.162,   7.545, 76,  0,   1.397,   2.155,   0.599,   4.600,   5.176,   1.438,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:40:290, 181427028101809,    1.089,   16.000, 2200,  15.064,  34.022,   9.451,  10.388,  27.181,   7.550, 76,  0,   2.238,   2.159,   0.600,   4.609,   5.185,   1.440,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.089477
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 34.021851
Cumulative Processor Energy_0 (mWh) = 9.450514
Average Processor Power_0 (Watt) = 31.227694

Cumulative IA Energy_0 (Joules) = 27.180664
Cumulative IA Energy_0 (mWh) = 7.550184
Average IA Power_0 (Watt) = 24.948363

Cumulative DRAM Energy_0 (Joules) = 2.159363
Cumulative DRAM Energy_0 (mWh) = 0.599823
Average DRAM Power_0 (Watt) = 1.982018

Cumulative GT Energy_0 (Joules) = 5.184509
Cumulative GT Energy_0 (mWh) = 1.440141
Average GT Power_0 (Watt) = 4.758714
