System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:25:40:532, 181427557143013,    0.147,   29.000, 3900,  37.552,   5.521,   1.534,  30.595,   4.499,   1.250, 80,  0,   2.395,   0.352,   0.098,   4.735,   0.696,   0.193,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:40:641, 181427798576419,    0.256,   25.000, 3300,  34.845,   9.332,   2.592,  28.709,   7.638,   2.122, 96,  0,   1.977,   0.568,   0.158,   4.749,   1.216,   0.338,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:40:787, 181428121719222,    0.403,   23.000, 3800,  32.587,  14.101,   3.917,  26.364,  11.496,   3.193, 95,  0,   1.895,   0.846,   0.235,   4.785,   1.916,   0.532,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:40:899, 181428368873502,    0.515,   19.000, 3900,  32.023,  17.685,   4.913,  25.978,  14.404,   4.001, 80,  0,   1.824,   1.050,   0.292,   4.659,   2.437,   0.677,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:41:016, 181428626569701,    0.631,   18.000, 3900,  31.425,  21.353,   5.931,  25.287,  17.355,   4.821, 89,  0,   1.863,   1.267,   0.352,   4.671,   2.982,   0.828,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:41:175, 181428977301596,    0.790,   15.000, 3900,  27.366,  25.700,   7.139,  21.354,  20.747,   5.763, 78,  0,   1.637,   1.527,   0.424,   4.578,   3.710,   1.030,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:41:314, 181429284144121,    0.929,   23.000, 3900,  32.314,  30.190,   8.386,  26.769,  24.467,   6.796, 93,  0,   2.039,   1.811,   0.503,   3.975,   4.262,   1.184,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:25:41:314, 181429293551439,    0.933,   24.000, 3900,  29.038,  30.314,   8.421,  24.726,  24.573,   6.826, 94,  0,   1.776,   1.818,   0.505,   3.954,   4.279,   1.189,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.933449
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 30.313965
Cumulative Processor Energy_0 (mWh) = 8.420546
Average Processor Power_0 (Watt) = 32.475223

Cumulative IA Energy_0 (Joules) = 24.572632
Cumulative IA Energy_0 (mWh) = 6.825731
Average IA Power_0 (Watt) = 26.324557

Cumulative DRAM Energy_0 (Joules) = 1.818115
Cumulative DRAM Energy_0 (mWh) = 0.505032
Average DRAM Power_0 (Watt) = 1.947739

Cumulative GT Energy_0 (Joules) = 4.278931
Cumulative GT Energy_0 (mWh) = 1.188592
Average GT Power_0 (Watt) = 4.584000
