System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:23:56:456, 181197757133077,    0.107,   34.000, 3400,  42.434,   4.528,   1.258,  36.189,   3.862,   1.073, 97,  0,   2.308,   0.246,   0.068,   4.843,   0.517,   0.144,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:56:590, 181198052390418,    0.240,   20.000, 3300,  33.001,   8.941,   2.484,  26.623,   7.422,   2.062, 96,  0,   1.947,   0.507,   0.141,   4.876,   1.169,   0.325,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:56:803, 181198522854863,    0.454,   24.000, 3900,  29.794,  15.289,   4.247,  23.496,  12.428,   3.452, 96,  0,   1.911,   0.914,   0.254,   4.838,   2.200,   0.611,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:56:944, 181198834429855,    0.595,   15.000, 3900,  30.591,  19.606,   5.446,  24.001,  15.815,   4.393, 81,  0,   1.647,   1.146,   0.318,   5.001,   2.905,   0.807,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:57:096, 181199170615998,    0.747,    8.000, 3900,  19.481,  22.572,   6.270,  13.254,  17.833,   4.954, 77,  0,   1.170,   1.324,   0.368,   4.891,   3.650,   1.014,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:57:206, 181199413281681,    0.857,   11.000, 3900,  24.709,  25.288,   7.024,  18.751,  19.894,   5.526, 78,  0,   1.385,   1.477,   0.410,   4.829,   4.181,   1.161,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:57:316, 181199655692329,    0.967,    2.000, 2200,  11.408,  26.540,   7.372,   5.220,  20.467,   5.685, 76,  0,   1.107,   1.598,   0.444,   4.838,   4.712,   1.309,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:57:316, 181199658084527,    0.968,   11.000, 2200,   8.563,  26.550,   7.375,   6.591,  20.474,   5.687, 76,  0,   1.183,   1.599,   0.444,   4.789,   4.717,   1.310,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.967647
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 26.549744
Cumulative Processor Energy_0 (mWh) = 7.374929
Average Processor Power_0 (Watt) = 27.437431

Cumulative IA Energy_0 (Joules) = 20.474121
Cumulative IA Energy_0 (mWh) = 5.687256
Average IA Power_0 (Watt) = 21.158671

Cumulative DRAM Energy_0 (Joules) = 1.599304
Cumulative DRAM Energy_0 (mWh) = 0.444251
Average DRAM Power_0 (Watt) = 1.652777

Cumulative GT Energy_0 (Joules) = 4.716980
Cumulative GT Energy_0 (mWh) = 1.310272
Average GT Power_0 (Watt) = 4.874692
