System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:23:57:520, 181200106020291,    0.108,   24.000, 3700,  39.202,   4.242,   1.178,  33.822,   3.660,   1.017, 96,  0,   1.832,   0.198,   0.055,   3.923,   0.425,   0.118,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:57:645, 181200383049012,    0.234,   17.000, 3500,  28.697,   7.843,   2.179,  23.445,   6.602,   1.834, 95,  0,   1.438,   0.379,   0.105,   3.845,   0.907,   0.252,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:57:771, 181200661114796,    0.360,   16.000, 3900,  23.009,  10.740,   2.983,  17.846,   8.849,   2.458, 77,  0,   1.461,   0.563,   0.156,   3.865,   1.394,   0.387,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:57:912, 181200972834048,    0.501,   10.000, 3900,  22.693,  13.944,   3.873,  17.564,  11.329,   3.147, 74,  0,   1.469,   0.770,   0.214,   3.833,   1.935,   0.537,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:58:022, 181201215029198,    0.610,   11.000, 3900,  22.050,  16.363,   4.545,  17.092,  13.203,   3.668, 88,  0,   1.220,   0.904,   0.251,   3.827,   2.355,   0.654,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:58:131, 181201456713308,    0.720,    8.000, 3900,  18.482,  18.386,   5.107,  13.355,  14.665,   4.074, 76,  0,   1.164,   1.031,   0.286,   3.830,   2.774,   0.771,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:58:275, 181201772834607,    0.863,   16.000, 3900,  27.407,  22.310,   6.197,  22.361,  17.867,   4.963, 75,  0,   1.797,   1.289,   0.358,   3.544,   3.281,   0.911,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:58:278, 181201781346791,    0.867,   26.000, 3900,  35.591,  22.447,   6.235,  28.086,  17.975,   4.993, 75,  0,   3.277,   1.301,   0.361,   4.686,   3.299,   0.916,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.866966
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 22.446838
Cumulative Processor Energy_0 (mWh) = 6.235233
Average Processor Power_0 (Watt) = 25.891255

Cumulative IA Energy_0 (Joules) = 17.974915
Cumulative IA Energy_0 (mWh) = 4.993032
Average IA Power_0 (Watt) = 20.733125

Cumulative DRAM Energy_0 (Joules) = 1.301208
Cumulative DRAM Energy_0 (mWh) = 0.361447
Average DRAM Power_0 (Watt) = 1.500876

Cumulative GT Energy_0 (Joules) = 3.299377
Cumulative GT Energy_0 (mWh) = 0.916494
Average GT Power_0 (Watt) = 3.805660
