System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:23:59:469, 181204411053717,    0.127,   22.000, 3700,  35.675,   4.522,   1.256,  29.422,   3.729,   1.036, 96,  0,   1.864,   0.236,   0.066,   4.687,   0.594,   0.165,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:59:580, 181204654396567,    0.237,   10.000, 3600,  22.324,   6.982,   1.940,  16.445,   5.542,   1.539, 95,  0,   1.300,   0.380,   0.105,   4.619,   1.103,   0.306,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:59:689, 181204896818568,    0.347,   13.000, 3900,  26.404,   9.881,   2.745,  20.239,   7.764,   2.157, 77,  0,   1.472,   0.541,   0.150,   4.624,   1.611,   0.447,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:59:800, 181205140050430,    0.457,   11.000, 3900,  23.674,  12.489,   3.469,  17.838,   9.729,   2.702, 76,  0,   1.320,   0.687,   0.191,   4.570,   2.114,   0.587,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:59:910, 181205382611065,    0.567,   10.000, 3900,  22.002,  14.906,   4.141,  16.173,  11.506,   3.196, 85,  0,   1.247,   0.824,   0.229,   4.556,   2.615,   0.726,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:00:035, 181205659606764,    0.692,   16.000, 3900,  28.249,  18.450,   5.125,  22.497,  14.328,   3.980, 88,  0,   1.333,   0.991,   0.275,   4.547,   3.185,   0.885,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:00:160, 181205936375231,    0.818,   18.000, 3900,  31.313,  22.375,   6.215,  25.348,  17.505,   4.863, 82,  0,   1.418,   1.169,   0.325,   4.577,   3.759,   1.044,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:00:280, 181206200435023,    0.937,   17.000, 3900,  27.910,  25.713,   7.142,  21.881,  20.122,   5.589, 76,  0,   1.658,   1.367,   0.380,   4.793,   4.332,   1.203,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:00:280, 181206202250025,    0.938,   25.000, 3900,  42.472,  25.748,   7.152,  49.303,  20.163,   5.601, 76,  0,   2.450,   1.369,   0.380,   4.901,   4.336,   1.204,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.937985
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 25.747864
Cumulative Processor Energy_0 (mWh) = 7.152184
Average Processor Power_0 (Watt) = 27.450189

Cumulative IA Energy_0 (Joules) = 20.162598
Cumulative IA Energy_0 (mWh) = 5.600722
Average IA Power_0 (Watt) = 21.495652

Cumulative DRAM Energy_0 (Joules) = 1.368896
Cumulative DRAM Energy_0 (mWh) = 0.380249
Average DRAM Power_0 (Watt) = 1.459401

Cumulative GT Energy_0 (Joules) = 4.335999
Cumulative GT Energy_0 (mWh) = 1.204444
Average GT Power_0 (Watt) = 4.622674
