System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:24:00:503, 181206692694437,    0.121,   33.000, 3900,  41.978,   5.090,   1.414,  34.856,   4.226,   1.174, 81,  0,   2.645,   0.321,   0.089,   5.232,   0.634,   0.176,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:00:614, 181206938057907,    0.232,   13.000, 3600,  26.448,   8.029,   2.230,  20.346,   6.487,   1.802, 96,  0,   1.625,   0.501,   0.139,   4.806,   1.169,   0.325,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:00:756, 181207250903413,    0.374,   26.000, 3900,  35.021,  12.991,   3.609,  28.689,  10.552,   2.931, 92,  0,   2.088,   0.797,   0.221,   4.809,   1.850,   0.514,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:00:861, 181207483750879,    0.480,   17.000, 3900,  29.996,  16.154,   4.487,  23.464,  13.026,   3.618, 87,  0,   2.008,   1.009,   0.280,   4.818,   2.358,   0.655,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:00:971, 181207726196411,    0.589,   21.000, 3900,  36.451,  20.156,   5.599,  30.072,  16.328,   4.536, 94,  0,   2.001,   1.229,   0.341,   4.939,   2.900,   0.806,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:01:112, 181208038466074,    0.731,   14.000, 3900,  31.296,  24.583,   6.828,  24.706,  19.822,   5.506, 90,  0,   1.736,   1.474,   0.409,   4.996,   3.607,   1.002,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:01:248, 181208338198355,    0.866,   14.000, 3900,  26.068,  28.121,   7.811,  19.747,  22.503,   6.251, 90,  0,   1.444,   1.670,   0.464,   4.939,   4.277,   1.188,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:01:358, 181208580412979,    0.976,    1.000, 2200,  10.088,  29.228,   8.119,   4.067,  22.949,   6.375, 76,  0,   1.077,   1.788,   0.497,   4.858,   4.810,   1.336,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:01:358, 181208582411671,    0.977,   12.000, 2200,  11.260,  29.238,   8.122,   6.810,  22.955,   6.376, 76,  0,   1.349,   1.789,   0.497,   4.990,   4.815,   1.337,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.977095
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 29.238037
Cumulative Processor Energy_0 (mWh) = 8.121677
Average Processor Power_0 (Watt) = 29.923443

Cumulative IA Energy_0 (Joules) = 22.955383
Cumulative IA Energy_0 (mWh) = 6.376495
Average IA Power_0 (Watt) = 23.493510

Cumulative DRAM Energy_0 (Joules) = 1.789490
Cumulative DRAM Energy_0 (mWh) = 0.497080
Average DRAM Power_0 (Watt) = 1.831439

Cumulative GT Energy_0 (Joules) = 4.814819
Cumulative GT Energy_0 (mWh) = 1.337450
Average GT Power_0 (Watt) = 4.927690
