System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:22:32:325, 181011994911075,    0.129,   38.000, 3900,  45.221,   5.825,   1.618,  39.025,   5.027,   1.396, 86,  0,   2.640,   0.340,   0.094,   4.453,   0.574,   0.159,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:32:437, 181012241640516,    0.241,   13.000, 3900,  28.378,   8.996,   2.499,  21.871,   7.471,   2.075, 83,  0,   1.588,   0.518,   0.144,   4.718,   1.101,   0.306,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:32:551, 181012493497452,    0.355,   15.000, 3900,  26.348,  12.002,   3.334,  20.338,   9.791,   2.720, 79,  0,   1.618,   0.702,   0.195,   4.687,   1.635,   0.454,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:32:664, 181012743334115,    0.468,   21.000, 3900,  33.005,  15.736,   4.371,  26.849,  12.829,   3.564, 81,  0,   1.782,   0.904,   0.251,   4.677,   2.165,   0.601,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:32:767, 181012971561492,    0.571,   24.000, 3900,  35.164,  19.371,   5.381,  29.333,  15.861,   4.406, 93,  0,   1.760,   1.086,   0.302,   4.696,   2.650,   0.736,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:32:874, 181013208272732,    0.678,   19.000, 3900,  33.646,  22.978,   6.383,  27.186,  18.775,   5.215, 91,  0,   1.638,   1.261,   0.350,   4.766,   3.161,   0.878,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:32:978, 181013437756568,    0.782,   11.000, 3900,  24.069,  25.479,   7.078,  18.017,  20.648,   5.736, 85,  0,   1.358,   1.402,   0.390,   5.036,   3.684,   1.023,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:33:126, 181013763137357,    0.930,   12.000, 3900,  24.340,  29.066,   8.074,  17.876,  23.282,   6.467, 80,  0,   1.503,   1.624,   0.451,   4.965,   4.416,   1.227,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:33:126, 181013764849941,    0.930,   13.000, 3900,  38.480,  29.096,   8.082,  26.991,  23.303,   6.473, 80,  0,   1.967,   1.625,   0.452,   4.879,   4.420,   1.228,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.930415
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 29.096008
Cumulative Processor Energy_0 (mWh) = 8.082225
Average Processor Power_0 (Watt) = 31.272074

Cumulative IA Energy_0 (Joules) = 23.303162
Cumulative IA Energy_0 (mWh) = 6.473100
Average IA Power_0 (Watt) = 25.045985

Cumulative DRAM Energy_0 (Joules) = 1.625427
Cumulative DRAM Energy_0 (mWh) = 0.451508
Average DRAM Power_0 (Watt) = 1.746992

Cumulative GT Energy_0 (Joules) = 4.419800
Cumulative GT Energy_0 (mWh) = 1.227722
Average GT Power_0 (Watt) = 4.750353
