System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:22:23:475, 180992454161763,    0.144,   20.000, 3900,  32.146,   4.635,   1.288,  25.968,   3.744,   1.040, 80,  0,   1.736,   0.250,   0.070,   4.773,   0.688,   0.191,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:23:585, 180992696715287,    0.254,   13.000, 3900,  25.700,   7.458,   2.072,  19.679,   5.906,   1.641, 89,  0,   1.416,   0.406,   0.113,   4.681,   1.202,   0.334,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:23:725, 180993005968808,    0.394,   12.000, 3900,  25.715,  11.060,   3.072,  19.829,   8.683,   2.412, 78,  0,   1.401,   0.602,   0.167,   4.628,   1.851,   0.514,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:23:884, 180993358160053,    0.554,   13.000, 3900,  27.834,  15.500,   4.305,  21.985,  12.190,   3.386, 87,  0,   1.453,   0.834,   0.232,   4.568,   2.579,   0.716,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:24:024, 180993665911563,    0.693,   15.000, 3900,  27.006,  19.264,   5.351,  21.143,  15.137,   4.205, 94,  0,   1.289,   1.014,   0.282,   4.568,   3.216,   0.893,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:24:129, 180993897856617,    0.798,   20.000, 3900,  37.435,  23.196,   6.443,  31.478,  18.443,   5.123, 82,  0,   1.774,   1.200,   0.333,   4.556,   3.695,   1.026,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:24:255, 180994175844383,    0.924,   18.000, 3900,  30.897,  27.086,   7.524,  24.543,  21.533,   5.982, 90,  0,   2.078,   1.462,   0.406,   4.624,   4.277,   1.188,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:24:255, 180994177231345,    0.925,   19.000, 3900,   0.000,  27.086,   7.524,  31.871,  21.553,   5.987, 90,  0,   0.000,   1.462,   0.406,   4.275,   4.280,   1.189,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.924558
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 27.085938
Cumulative Processor Energy_0 (mWh) = 7.523872
Average Processor Power_0 (Watt) = 29.296104

Cumulative IA Energy_0 (Joules) = 21.553467
Cumulative IA Energy_0 (mWh) = 5.987074
Average IA Power_0 (Watt) = 23.312193

Cumulative DRAM Energy_0 (Joules) = 1.461548
Cumulative DRAM Energy_0 (mWh) = 0.405986
Average DRAM Power_0 (Watt) = 1.580808

Cumulative GT Energy_0 (Joules) = 4.279602
Cumulative GT Energy_0 (mWh) = 1.188778
Average GT Power_0 (Watt) = 4.628810
