System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:22:25:459, 180996835606128,    0.120,   20.000, 3900,  29.915,   3.585,   0.996,  23.578,   2.826,   0.785, 80,  0,   1.762,   0.211,   0.059,   4.780,   0.573,   0.159,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:25:569, 180997078018719,    0.230,   15.000, 3900,  27.916,   6.650,   1.847,  21.584,   5.195,   1.443, 80,  0,   1.547,   0.381,   0.106,   4.711,   1.090,   0.303,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:25:694, 180997355169736,    0.355,   15.000, 3900,  27.694,  10.126,   2.813,  21.602,   7.907,   2.196, 87,  0,   1.500,   0.569,   0.158,   4.692,   1.679,   0.466,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:25:804, 180997597747381,    0.465,    9.000, 3900,  21.255,  12.461,   3.461,  15.404,   9.599,   2.666, 77,  0,   1.214,   0.703,   0.195,   4.568,   2.181,   0.606,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:25:907, 180997823145220,    0.567,   12.000, 3900,  24.698,  14.982,   4.162,  18.847,  11.523,   3.201, 88,  0,   1.358,   0.841,   0.234,   4.576,   2.648,   0.736,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:26:043, 180998125329365,    0.704,   12.000, 3900,  24.673,  18.359,   5.100,  18.957,  14.117,   3.922, 77,  0,   1.367,   1.028,   0.286,   4.580,   3.275,   0.910,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:26:161, 180998386104431,    0.822,   11.000, 3900,  22.370,  21.001,   5.834,  16.331,  16.046,   4.457, 77,  0,   1.348,   1.188,   0.330,   4.566,   3.814,   1.059,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:26:274, 180998635113683,    0.935,    8.000, 3300,  18.486,  23.086,   6.413,  12.663,  17.474,   4.854, 76,  0,   1.516,   1.359,   0.377,   4.547,   4.327,   1.202,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:26:274, 180998636484159,    0.935,    9.000, 3300,  12.095,  23.093,   6.415,  14.652,  17.483,   4.856, 76,  0,   1.967,   1.360,   0.378,   4.032,   4.329,   1.203,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.935448
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 23.093201
Cumulative Processor Energy_0 (mWh) = 6.414778
Average Processor Power_0 (Watt) = 24.686774

Cumulative IA Energy_0 (Joules) = 17.483337
Cumulative IA Energy_0 (mWh) = 4.856483
Average IA Power_0 (Watt) = 18.689795

Cumulative DRAM Energy_0 (Joules) = 1.359741
Cumulative DRAM Energy_0 (mWh) = 0.377706
Average DRAM Power_0 (Watt) = 1.453572

Cumulative GT Energy_0 (Joules) = 4.329346
Cumulative GT Energy_0 (mWh) = 1.202596
Average GT Power_0 (Watt) = 4.628097
