System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:22:26:555, 180999255333760,    0.139,   40.000, 3800,  40.835,   5.679,   1.578,  34.551,   4.805,   1.335, 92,  0,   1.922,   0.267,   0.074,   4.771,   0.663,   0.184,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:26:660, 180999486100482,    0.244,   21.000, 3900,  35.823,   9.423,   2.618,  29.535,   7.892,   2.192, 92,  0,   1.632,   0.438,   0.122,   4.781,   1.163,   0.323,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:26:768, 180999725604630,    0.352,   20.000, 3900,  27.595,  12.416,   3.449,  21.699,  10.246,   2.846, 85,  0,   1.570,   0.608,   0.169,   4.724,   1.675,   0.465,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:26:875, 180999962291892,    0.459,   15.000, 3900,  29.266,  15.554,   4.320,  22.995,  12.711,   3.531, 81,  0,   1.549,   0.774,   0.215,   4.905,   2.201,   0.611,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:26:986, 181000207918302,    0.570,   20.000, 3900,  37.608,  19.737,   5.483,  30.654,  16.121,   4.478, 90,  0,   2.100,   1.008,   0.280,   5.062,   2.764,   0.768,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:27:134, 181000532694729,    0.718,   22.000, 3900,  34.429,  24.801,   6.889,  27.804,  20.210,   5.614, 81,  0,   2.033,   1.307,   0.363,   5.070,   3.510,   0.975,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:27:259, 181000809680521,    0.843,   21.000, 3600,  31.537,  28.758,   7.988,  25.362,  23.392,   6.498, 96,  0,   2.138,   1.575,   0.438,   4.724,   4.103,   1.140,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:27:391, 181001100219382,    0.975,   19.000, 3900,  32.326,  33.011,   9.170,  26.193,  26.838,   7.455, 90,  0,   2.322,   1.881,   0.522,   4.456,   4.689,   1.303,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:27:398, 181001116554091,    0.982,   19.000, 3900,  22.565,  33.178,   9.216,  19.157,  26.980,   7.494, 90,  0,   2.294,   1.898,   0.527,   3.968,   4.718,   1.311,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.982014
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 33.178040
Cumulative Processor Energy_0 (mWh) = 9.216122
Average Processor Power_0 (Watt) = 33.785710

Cumulative IA Energy_0 (Joules) = 26.980164
Cumulative IA Energy_0 (mWh) = 7.494490
Average IA Power_0 (Watt) = 27.474317

Cumulative DRAM Energy_0 (Joules) = 1.897644
Cumulative DRAM Energy_0 (mWh) = 0.527123
Average DRAM Power_0 (Watt) = 1.932400

Cumulative GT Energy_0 (Joules) = 4.718384
Cumulative GT Energy_0 (mWh) = 1.310662
Average GT Power_0 (Watt) = 4.804803
