System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:22:27:645, 181001661875611,    0.132,   42.000, 3600,  43.488,   5.748,   1.597,  36.410,   4.812,   1.337, 94,  0,   3.543,   0.468,   0.130,   4.848,   0.641,   0.178,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:27:790, 181001982247214,    0.277,   36.000, 3900,  41.192,  11.725,   3.257,  34.376,   9.800,   2.722, 93,  0,   3.237,   0.938,   0.261,   4.786,   1.335,   0.371,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:27:922, 181002274304052,    0.410,   39.000, 3900,  37.026,  16.622,   4.617,  31.255,  13.934,   3.871, 95,  0,   2.915,   1.323,   0.368,   4.011,   1.866,   0.518,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:28:031, 181002514418974,    0.518,   30.000, 3400,  41.076,  21.089,   5.858,  34.879,  17.727,   4.924, 94,  0,   3.020,   1.652,   0.459,   3.928,   2.293,   0.637,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:28:171, 181002823047897,    0.658,   29.000, 3700,  35.256,  26.017,   7.227,  29.532,  21.855,   6.071, 96,  0,   2.803,   2.044,   0.568,   3.860,   2.832,   0.787,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:28:283, 181003070091966,    0.770,   45.000, 3600,  42.512,  30.774,   8.548,  36.098,  25.894,   7.193, 94,  0,   3.636,   2.451,   0.681,   3.963,   3.276,   0.910,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:28:402, 181003332215912,    0.889,   37.000, 3500,  37.149,  35.184,   9.773,  29.620,  29.410,   8.170, 95,  0,   3.284,   2.840,   0.789,   5.281,   3.903,   1.084,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:28:522, 181003599189063,    1.010,   34.000, 3900,  43.107,  40.396,  11.221,  35.457,  33.698,   9.360, 94,  0,   3.287,   3.238,   0.899,   5.548,   4.574,   1.270,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:28:651, 181003883362538,    1.138,   10.000, 2200,  21.426,  43.153,  11.987,  15.363,  35.675,   9.910, 80,  0,   1.513,   3.433,   0.954,   4.718,   5.181,   1.439,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:28:651, 181003885300985,    1.139,    8.000, 2200,  12.306,  43.164,  11.990,   8.273,  35.682,   9.912, 80,  0,   1.738,   3.434,   0.954,   4.449,   5.185,   1.440,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.139155
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.164185
Cumulative Processor Energy_0 (mWh) = 11.990051
Average Processor Power_0 (Watt) = 37.891395

Cumulative IA Energy_0 (Joules) = 35.682068
Cumulative IA Energy_0 (mWh) = 9.911686
Average IA Power_0 (Watt) = 31.323268

Cumulative DRAM Energy_0 (Joules) = 3.434143
Cumulative DRAM Energy_0 (mWh) = 0.953929
Average DRAM Power_0 (Watt) = 3.014640

Cumulative GT Energy_0 (Joules) = 5.184692
Cumulative GT Energy_0 (mWh) = 1.440192
Average GT Power_0 (Watt) = 4.551348
