System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:22:28:899, 181004430810500,    0.107,   15.000, 3900,  30.173,   3.240,   0.900,  24.019,   2.579,   0.716, 80,  0,   1.805,   0.194,   0.054,   4.755,   0.511,   0.142,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:29:020, 181004698797427,    0.229,   28.000, 3700,  35.701,   7.573,   2.104,  28.588,   6.049,   1.680, 98,  0,   2.596,   0.509,   0.141,   5.248,   1.148,   0.319,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:29:148, 181004981419366,    0.357,   37.000, 3400,  48.713,  13.808,   3.836,  40.511,  11.234,   3.121, 98,  0,   3.535,   0.961,   0.267,   5.923,   1.906,   0.529,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:29:262, 181005231735525,    0.470,   28.000, 3900,  37.138,  18.018,   5.005,  30.498,  14.692,   4.081, 92,  0,   2.489,   1.244,   0.345,   5.104,   2.484,   0.690,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:29:386, 181005505404251,    0.594,   29.000, 3900,  43.823,  23.450,   6.514,  35.776,  19.126,   5.313, 92,  0,   3.309,   1.654,   0.459,   5.843,   3.209,   0.891,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:29:495, 181005747667072,    0.704,   18.000, 3900,  30.475,  26.794,   7.443,  23.657,  21.722,   6.034, 87,  0,   2.094,   1.884,   0.523,   5.139,   3.772,   1.048,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:29:615, 181006011280596,    0.823,   36.000, 3500,  43.167,  31.947,   8.874,  35.258,  25.931,   7.203, 95,  0,   3.347,   2.283,   0.634,   5.723,   4.456,   1.238,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:29:747, 181006303788941,    0.956,   14.000, 2200,  30.396,  35.974,   9.993,  23.331,  29.022,   8.062, 82,  0,   2.120,   2.564,   0.712,   5.110,   5.133,   1.426,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:29:747, 181006305672107,    0.956,    8.000, 2200,   0.000,  35.974,   9.993,   6.799,  29.028,   8.063, 82,  0,   0.000,   2.564,   0.712,   4.580,   5.137,   1.427,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.956495
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 35.974121
Cumulative Processor Energy_0 (mWh) = 9.992811
Average Processor Power_0 (Watt) = 37.610366

Cumulative IA Energy_0 (Joules) = 29.027710
Cumulative IA Energy_0 (mWh) = 8.063253
Average IA Power_0 (Watt) = 30.348005

Cumulative DRAM Energy_0 (Joules) = 2.564148
Cumulative DRAM Energy_0 (mWh) = 0.712263
Average DRAM Power_0 (Watt) = 2.680776

Cumulative GT Energy_0 (Joules) = 5.136536
Cumulative GT Energy_0 (mWh) = 1.426815
Average GT Power_0 (Watt) = 5.370166
