System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:22:29:984, 181006826911585,    0.138,   22.000, 3900,  32.148,   4.426,   1.230,  26.091,   3.593,   0.998, 85,  0,   1.820,   0.251,   0.070,   4.798,   0.661,   0.184,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:30:090, 181007061141802,    0.244,   23.000, 3900,  36.947,   8.346,   2.318,  30.789,   6.859,   1.905, 88,  0,   2.052,   0.468,   0.130,   4.863,   1.177,   0.327,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:30:224, 181007357014933,    0.378,   23.000, 3500,  35.288,  13.074,   3.632,  28.637,  10.696,   2.971, 96,  0,   2.038,   0.741,   0.206,   4.789,   1.818,   0.505,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:30:359, 181007654674391,    0.513,   47.000, 3500,  46.092,  19.288,   5.358,  38.715,  15.915,   4.421, 95,  0,   3.411,   1.201,   0.334,   5.478,   2.557,   0.710,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:30:480, 181007920585867,    0.633,   24.000, 3600,  35.195,  23.526,   6.535,  28.168,  19.307,   5.363, 96,  0,   2.338,   1.483,   0.412,   5.165,   3.179,   0.883,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:30:606, 181008199043218,    0.759,   30.000, 3200,  36.930,  28.184,   7.829,  29.203,  22.990,   6.386, 97,  0,   3.193,   1.885,   0.524,   5.665,   3.893,   1.081,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:30:744, 181008504028948,    0.897,   30.000, 3600,  39.509,  33.641,   9.345,  31.468,  27.337,   7.594, 96,  0,   3.382,   2.353,   0.653,   5.794,   4.694,   1.304,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:30:887, 181008819757374,    1.040,   14.000, 3900,  23.516,  37.004,  10.279,  17.313,  29.813,   8.281, 81,  0,   1.716,   2.598,   0.722,   4.725,   5.369,   1.491,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:22:30:887, 181008821293185,    1.041,   16.000, 4000,  55.106,  37.042,  10.289,  30.888,  29.834,   8.287, 81,  0,   3.159,   2.600,   0.722,   4.387,   5.372,   1.492,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.040941
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 37.041931
Cumulative Processor Energy_0 (mWh) = 10.289425
Average Processor Power_0 (Watt) = 35.585051

Cumulative IA Energy_0 (Joules) = 29.834045
Cumulative IA Energy_0 (mWh) = 8.287235
Average IA Power_0 (Watt) = 28.660655

Cumulative DRAM Energy_0 (Joules) = 2.600098
Cumulative DRAM Energy_0 (mWh) = 0.722249
Average DRAM Power_0 (Watt) = 2.497834

Cumulative GT Energy_0 (Joules) = 5.372375
Cumulative GT Energy_0 (mWh) = 1.492327
Average GT Power_0 (Watt) = 5.161077
