System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:20:47:258, 180780006682850,    0.103,   17.000, 3900,  30.400,   3.142,   0.873,  23.971,   2.478,   0.688, 81,  0,   1.722,   0.178,   0.049,   4.793,   0.495,   0.138,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:47:383, 180780283265607,    0.229,   15.000, 3200,  29.228,   6.803,   1.890,  22.989,   5.357,   1.488, 96,  0,   1.545,   0.372,   0.103,   4.931,   1.113,   0.309,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:47:504, 180780549521096,    0.349,   10.000, 3900,  21.807,   9.433,   2.620,  15.383,   7.212,   2.003, 80,  0,   1.303,   0.529,   0.147,   4.989,   1.715,   0.476,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:47:622, 180780810317158,    0.467,   11.000, 3900,  24.231,  12.295,   3.415,  18.010,   9.339,   2.594, 80,  0,   1.300,   0.682,   0.189,   4.972,   2.302,   0.639,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:47:737, 180781063374057,    0.582,   18.000, 3900,  32.689,  16.042,   4.456,  26.428,  12.368,   3.436, 82,  0,   1.744,   0.882,   0.245,   4.977,   2.872,   0.798,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:47:862, 180781340491091,    0.707,    9.000, 3900,  19.090,  18.438,   5.122,  12.839,  13.980,   3.883, 90,  0,   1.179,   1.030,   0.286,   4.970,   3.496,   0.971,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:47:985, 180781611199435,    0.830,   19.000, 3800,  32.846,  22.465,   6.240,  26.474,  17.226,   4.785, 96,  0,   1.505,   1.215,   0.337,   4.956,   4.104,   1.140,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:48:094, 180781852948499,    0.940,    3.000, 2200,  11.177,  23.688,   6.580,   5.104,  17.784,   4.940, 78,  0,   1.153,   1.341,   0.372,   4.876,   4.638,   1.288,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:48:094, 180781855216509,    0.941,    8.000, 2200,   9.864,  23.698,   6.583,   5.407,  17.790,   4.942, 78,  0,   1.248,   1.342,   0.373,   4.694,   4.642,   1.290,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.940559
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 23.698425
Cumulative Processor Energy_0 (mWh) = 6.582896
Average Processor Power_0 (Watt) = 25.196112

Cumulative IA Energy_0 (Joules) = 17.790039
Cumulative IA Energy_0 (mWh) = 4.941678
Average IA Power_0 (Watt) = 18.914330

Cumulative DRAM Energy_0 (Joules) = 1.342163
Cumulative DRAM Energy_0 (mWh) = 0.372823
Average DRAM Power_0 (Watt) = 1.426985

Cumulative GT Energy_0 (Joules) = 4.642395
Cumulative GT Energy_0 (mWh) = 1.289554
Average GT Power_0 (Watt) = 4.935784
