System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:20:49:461, 180784871514189,    0.137,   21.000, 3900,  31.316,   4.296,   1.193,  25.000,   3.430,   0.953, 85,  0,   1.789,   0.245,   0.068,   4.808,   0.660,   0.183,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:49:571, 180785114087056,    0.247,   17.000, 3500,  30.417,   7.638,   2.122,  24.384,   6.109,   1.697, 96,  0,   1.667,   0.429,   0.119,   4.707,   1.177,   0.327,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:49:688, 180785371305786,    0.364,   18.000, 3900,  28.593,  10.969,   3.047,  23.201,   8.811,   2.448, 84,  0,   1.877,   0.647,   0.180,   4.067,   1.650,   0.458,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:49:830, 180785685426388,    0.506,   14.000, 3900,  28.714,  15.054,   4.182,  23.225,  12.116,   3.365, 82,  0,   1.574,   0.871,   0.242,   4.025,   2.223,   0.618,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:49:959, 180785970807228,    0.635,   12.000, 3900,  24.699,  18.246,   5.068,  19.229,  14.601,   4.056, 78,  0,   1.304,   1.040,   0.289,   4.220,   2.768,   0.769,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:50:085, 180786249371526,    0.761,    8.000, 3900,  19.008,  20.644,   5.734,  13.601,  16.317,   4.532, 77,  0,   1.170,   1.187,   0.330,   4.201,   3.298,   0.916,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:50:227, 180786561325232,    0.902,    6.000, 2200,  17.911,  23.175,   6.437,  12.244,  18.047,   5.013, 76,  0,   1.334,   1.376,   0.382,   4.166,   3.887,   1.080,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:50:227, 180786563470569,    0.903,   11.000, 2200,   7.161,  23.182,   6.439,   6.847,  18.053,   5.015, 76,  0,   1.256,   1.377,   0.383,   4.209,   3.891,   1.081,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.903469
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 23.181519
Cumulative Processor Energy_0 (mWh) = 6.439311
Average Processor Power_0 (Watt) = 25.658347

Cumulative IA Energy_0 (Joules) = 18.053223
Cumulative IA Energy_0 (mWh) = 5.014784
Average IA Power_0 (Watt) = 19.982118

Cumulative DRAM Energy_0 (Joules) = 1.377136
Cumulative DRAM Energy_0 (mWh) = 0.382538
Average DRAM Power_0 (Watt) = 1.524276

Cumulative GT Energy_0 (Joules) = 3.891113
Cumulative GT Energy_0 (mWh) = 1.080865
Average GT Power_0 (Watt) = 4.306859
