System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:20:52:399, 180791357613664,    0.120,   28.000, 3900,  38.802,   4.675,   1.299,  32.350,   3.898,   1.083, 83,  0,   1.976,   0.238,   0.066,   4.801,   0.578,   0.161,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:52:515, 180791613367703,    0.236,   16.000, 3900,  30.499,   8.208,   2.280,  24.290,   6.711,   1.864, 84,  0,   1.648,   0.429,   0.119,   4.807,   1.135,   0.315,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:52:637, 180791883260726,    0.359,   15.000, 3900,  30.066,  11.883,   3.301,  23.973,   9.641,   2.678, 91,  0,   1.632,   0.629,   0.175,   4.776,   1.719,   0.478,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:52:756, 180792147107961,    0.478,   21.000, 3900,  32.627,  15.781,   4.384,  26.645,  12.825,   3.563, 92,  0,   2.013,   0.869,   0.241,   4.698,   2.280,   0.633,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:52:872, 180792402932506,    0.594,   23.000, 3900,  40.217,  20.441,   5.678,  33.458,  16.702,   4.639, 85,  0,   2.196,   1.124,   0.312,   4.863,   2.844,   0.790,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:52:989, 180792661752047,    0.711,   10.000, 3900,  21.748,  22.990,   6.386,  15.503,  18.519,   5.144, 89,  0,   1.260,   1.271,   0.353,   4.977,   3.427,   0.952,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:53:099, 180792904516935,    0.821,    9.000, 3900,  20.497,  25.244,   7.012,  14.214,  20.082,   5.578, 79,  0,   1.295,   1.414,   0.393,   4.977,   3.974,   1.104,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:53:225, 180793181864188,    0.947,    8.000, 3900,  22.438,  28.062,   7.795,  16.155,  22.111,   6.142, 79,  0,   1.254,   1.571,   0.436,   4.955,   4.597,   1.277,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:20:53:225, 180793183067555,    0.947,   17.000, 3900,   0.000,  28.062,   7.795,  32.029,  22.128,   6.147, 78,  0,   0.000,   1.571,   0.436,   4.928,   4.600,   1.278,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.947224
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 28.062317
Cumulative Processor Energy_0 (mWh) = 7.795088
Average Processor Power_0 (Watt) = 29.625848

Cumulative IA Energy_0 (Joules) = 22.128418
Cumulative IA Energy_0 (mWh) = 6.146783
Average IA Power_0 (Watt) = 23.361333

Cumulative DRAM Energy_0 (Joules) = 1.571167
Cumulative DRAM Energy_0 (mWh) = 0.436435
Average DRAM Power_0 (Watt) = 1.658707

Cumulative GT Energy_0 (Joules) = 4.599548
Cumulative GT Energy_0 (mWh) = 1.277652
Average GT Power_0 (Watt) = 4.855819
