System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:21:34:765, 180884903167637,    0.110,   14.000, 3900,  27.792,   3.066,   0.852,  21.582,   2.381,   0.661, 95,  0,   1.660,   0.183,   0.051,   4.864,   0.537,   0.149,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:34:892, 180885182003323,    0.237,   18.000, 3500,  29.931,   6.846,   1.902,  23.458,   5.343,   1.484, 96,  0,   1.737,   0.402,   0.112,   4.994,   1.167,   0.324,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:35:011, 180885444720346,    0.356,   14.000, 3900,  27.914,  10.167,   2.824,  21.689,   7.924,   2.201, 87,  0,   1.331,   0.561,   0.156,   4.942,   1.755,   0.488,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:35:148, 180885747329318,    0.493,   20.000, 3900,  32.387,  14.606,   4.057,  26.096,  11.500,   3.195, 81,  0,   1.689,   0.792,   0.220,   4.746,   2.406,   0.668,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:35:265, 180886007209999,    0.610,   16.000, 3900,  28.896,  18.007,   5.002,  23.451,  14.260,   3.961, 92,  0,   1.583,   0.979,   0.272,   4.221,   2.902,   0.806,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:35:394, 180886291384147,    0.739,   14.000, 3900,  23.360,  21.013,   5.837,  17.871,  16.560,   4.600, 91,  0,   1.427,   1.162,   0.323,   4.198,   3.443,   0.956,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:35:504, 180886533970021,    0.849,   12.000, 3900,  23.493,  23.594,   6.554,  17.888,  18.526,   5.146, 78,  0,   1.449,   1.321,   0.367,   4.169,   3.901,   1.084,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:35:631, 180886814670271,    0.976,    3.000, 3300,  13.900,  25.361,   7.045,   8.530,  19.610,   5.447, 75,  0,   1.180,   1.471,   0.409,   4.112,   4.424,   1.229,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:35:631, 180886816243183,    0.977,    8.000, 3000,  18.592,  25.375,   7.048,  13.280,  19.620,   5.450, 75,  0,   1.799,   1.473,   0.409,   4.113,   4.427,   1.230,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.976740
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 25.374573
Cumulative Processor Energy_0 (mWh) = 7.048492
Average Processor Power_0 (Watt) = 25.978849

Cumulative IA Energy_0 (Joules) = 19.619629
Cumulative IA Energy_0 (mWh) = 5.449897
Average IA Power_0 (Watt) = 20.086855

Cumulative DRAM Energy_0 (Joules) = 1.472778
Cumulative DRAM Energy_0 (mWh) = 0.409105
Average DRAM Power_0 (Watt) = 1.507851

Cumulative GT Energy_0 (Joules) = 4.426514
Cumulative GT Energy_0 (mWh) = 1.229587
Average GT Power_0 (Watt) = 4.531928
