System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:21:44:201, 180905737334625,    0.154,   19.000, 3900,  30.364,   4.677,   1.299,  24.248,   3.735,   1.038, 79,  0,   1.725,   0.266,   0.074,   4.677,   0.720,   0.200,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:44:317, 180905993454052,    0.270,   22.000, 3700,  34.472,   8.676,   2.410,  28.373,   7.027,   1.952, 97,  0,   1.818,   0.477,   0.132,   4.736,   1.270,   0.353,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:44:437, 180906258967500,    0.390,   14.000, 3900,  29.924,  12.275,   3.410,  23.632,   9.868,   2.741, 84,  0,   1.673,   0.678,   0.188,   4.930,   1.863,   0.517,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:44:607, 180906633266879,    0.560,   60.000, 3000,  42.073,  19.407,   5.391,  35.488,  15.884,   4.412, 95,  0,   2.254,   1.060,   0.294,   5.003,   2.711,   0.753,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:44:759, 180906969693609,    0.712,   65.000, 3900,  41.766,  25.771,   7.158,  34.752,  21.179,   5.883, 87,  0,   2.901,   1.502,   0.417,   5.037,   3.478,   0.966,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:44:900, 180907281109608,    0.853,   13.000, 3900,  29.911,  29.989,   8.330,  23.581,  24.505,   6.807, 83,  0,   1.355,   1.693,   0.470,   4.979,   4.180,   1.161,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:45:089, 180907698913017,    1.042,   21.000, 3900,  29.994,  35.665,   9.907,  23.483,  28.949,   8.041, 82,  0,   2.004,   2.072,   0.576,   4.984,   5.123,   1.423,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:45:089, 180907700451775,    1.043,   11.000, 3900,  14.889,  35.675,   9.910,  25.661,  28.966,   8.046, 82,  0,   1.927,   2.074,   0.576,   5.605,   5.127,   1.424,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.043140
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 35.674988
Cumulative Processor Energy_0 (mWh) = 9.909719
Average Processor Power_0 (Watt) = 34.199628

Cumulative IA Energy_0 (Joules) = 28.966431
Cumulative IA Energy_0 (mWh) = 8.046231
Average IA Power_0 (Watt) = 27.768507

Cumulative DRAM Energy_0 (Joules) = 2.073547
Cumulative DRAM Energy_0 (mWh) = 0.575985
Average DRAM Power_0 (Watt) = 1.987795

Cumulative GT Energy_0 (Joules) = 5.127380
Cumulative GT Energy_0 (mWh) = 1.424272
Average GT Power_0 (Watt) = 4.915335
