System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:21:35:858, 180887315450409,    0.132,   26.000, 3900,  34.446,   4.555,   1.265,  28.505,   3.769,   1.047, 79,  0,   1.953,   0.258,   0.072,   4.525,   0.598,   0.166,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:35:968, 180887557864081,    0.242,   16.000, 3900,  31.006,   7.959,   2.211,  24.954,   6.509,   1.808, 83,  0,   1.822,   0.458,   0.127,   4.597,   1.103,   0.306,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:36:093, 180887835192228,    0.368,   14.000, 3900,  26.229,  11.253,   3.126,  20.381,   9.069,   2.519, 89,  0,   1.464,   0.642,   0.178,   4.640,   1.686,   0.468,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:36:203, 180888077618857,    0.477,   13.000, 3900,  24.978,  13.995,   3.888,  19.154,  11.172,   3.103, 79,  0,   1.301,   0.785,   0.218,   4.627,   2.194,   0.609,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:36:319, 180888333222677,    0.593,   28.000, 3900,  40.729,  18.710,   5.197,  34.355,  15.149,   4.208, 89,  0,   1.780,   0.991,   0.275,   4.878,   2.759,   0.766,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:36:441, 180888603366621,    0.716,   18.000, 3900,  30.386,  22.428,   6.230,  24.053,  18.092,   5.025, 80,  0,   1.624,   1.190,   0.331,   4.997,   3.370,   0.936,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:36:545, 180888832598379,    0.819,   15.000, 3900,  27.549,  25.288,   7.024,  21.106,  20.283,   5.634, 89,  0,   1.617,   1.358,   0.377,   4.927,   3.881,   1.078,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:36:659, 180889084782842,    0.934,    8.000, 3900,  17.414,  27.277,   7.577,  11.191,  21.561,   5.989, 84,  0,   1.416,   1.519,   0.422,   4.886,   4.439,   1.233,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:36:662, 180889090902477,    0.936,   30.000, 3900,  29.311,  27.358,   7.599,  20.657,  21.618,   6.005, 85,  0,   2.180,   1.526,   0.424,   4.889,   4.453,   1.237,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.936324
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 27.358154
Cumulative Processor Energy_0 (mWh) = 7.599487
Average Processor Power_0 (Watt) = 29.218692

Cumulative IA Energy_0 (Joules) = 21.618164
Cumulative IA Energy_0 (mWh) = 6.005046
Average IA Power_0 (Watt) = 23.088344

Cumulative DRAM Energy_0 (Joules) = 1.525513
Cumulative DRAM Energy_0 (mWh) = 0.423754
Average DRAM Power_0 (Watt) = 1.629258

Cumulative GT Energy_0 (Joules) = 4.453003
Cumulative GT Energy_0 (mWh) = 1.236945
Average GT Power_0 (Watt) = 4.755837
