System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:21:37:948, 180891930129553,    0.103,   25.000, 3900,  39.644,   4.089,   1.136,  33.229,   3.427,   0.952, 81,  0,   2.420,   0.250,   0.069,   4.774,   0.492,   0.137,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:38:092, 180892249280525,    0.248,   11.000, 3600,  23.222,   7.446,   2.068,  17.429,   5.947,   1.652, 95,  0,   1.327,   0.441,   0.123,   4.618,   1.160,   0.322,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:38:218, 180892525862522,    0.373,   19.000, 3400,  30.832,  11.308,   3.141,  24.721,   9.043,   2.512, 99,  0,   1.657,   0.649,   0.180,   4.628,   1.740,   0.483,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:38:329, 180892772767734,    0.485,   11.000, 3900,  23.404,  13.925,   3.868,  17.747,  11.028,   3.063, 78,  0,   1.334,   0.798,   0.222,   4.570,   2.251,   0.625,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:38:442, 180893020857887,    0.597,   23.000, 3900,  38.061,  18.201,   5.056,  31.943,  14.617,   4.060, 94,  0,   1.724,   0.992,   0.276,   4.619,   2.770,   0.769,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:38:566, 180893296014541,    0.722,   20.000, 3900,  33.371,  22.360,   6.211,  27.254,  18.013,   5.004, 90,  0,   1.457,   1.173,   0.326,   4.904,   3.381,   0.939,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:38:708, 180893608752351,    0.863,   18.000, 3900,  29.961,  26.604,   7.390,  23.534,  21.347,   5.930, 81,  0,   1.564,   1.395,   0.387,   4.946,   4.081,   1.134,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:38:708, 180893610109687,    0.864,    7.000, 3900,  38.226,  26.627,   7.396,  29.588,  21.365,   5.935, 81,  0,   2.879,   1.397,   0.388,   5.064,   4.084,   1.135,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.864004
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 26.627136
Cumulative Processor Energy_0 (mWh) = 7.396427
Average Processor Power_0 (Watt) = 30.818290

Cumulative IA Energy_0 (Joules) = 21.364746
Cumulative IA Energy_0 (mWh) = 5.934652
Average IA Power_0 (Watt) = 24.727591

Cumulative DRAM Energy_0 (Joules) = 1.396729
Cumulative DRAM Energy_0 (mWh) = 0.387980
Average DRAM Power_0 (Watt) = 1.616576

Cumulative GT Energy_0 (Joules) = 4.084290
Cumulative GT Energy_0 (mWh) = 1.134525
Average GT Power_0 (Watt) = 4.727163
