System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:21:39:948, 180896347079944,    0.113,   33.000, 3200,  42.334,   4.776,   1.327,  35.875,   4.047,   1.124, 98,  0,   2.416,   0.273,   0.076,   4.711,   0.531,   0.148,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:40:073, 180896622499586,    0.238,   18.000, 3500,  28.988,   8.392,   2.331,  22.895,   6.903,   1.918, 95,  0,   1.470,   0.456,   0.127,   4.707,   1.119,   0.311,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:40:203, 180896910215531,    0.368,   19.000, 3900,  31.223,  12.460,   3.461,  25.246,  10.193,   2.831, 83,  0,   1.721,   0.680,   0.189,   4.730,   1.735,   0.482,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:40:324, 180897176234618,    0.488,   22.000, 3900,  35.118,  16.691,   4.637,  28.678,  13.648,   3.791, 85,  0,   1.783,   0.895,   0.249,   4.846,   2.319,   0.644,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:40:434, 180897418757537,    0.598,   15.000, 3900,  28.766,  19.851,   5.514,  22.513,  16.121,   4.478, 91,  0,   1.573,   1.068,   0.297,   4.902,   2.857,   0.794,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:40:578, 180897736652223,    0.742,   12.000, 3900,  24.217,  23.338,   6.483,  17.806,  18.684,   5.190, 79,  0,   1.390,   1.268,   0.352,   4.945,   3.569,   0.991,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:40:693, 180897991613416,    0.858,   10.000, 3900,  21.471,  25.817,   7.171,  15.365,  20.459,   5.683, 78,  0,   1.305,   1.419,   0.394,   4.864,   4.131,   1.147,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:40:858, 180898356377169,    1.023,    9.000, 2200,  18.646,  28.897,   8.027,  12.443,  22.514,   6.254, 78,  0,   1.346,   1.641,   0.456,   4.896,   4.940,   1.372,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:40:859, 180898358531865,    1.024,   12.000, 2200,  13.072,  28.910,   8.031,   6.567,  22.521,   6.256, 77,  0,   1.689,   1.643,   0.456,   4.879,   4.944,   1.373,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.023798
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 28.909973
Cumulative Processor Energy_0 (mWh) = 8.030548
Average Processor Power_0 (Watt) = 28.237961

Cumulative IA Energy_0 (Joules) = 22.520569
Cumulative IA Energy_0 (mWh) = 6.255714
Average IA Power_0 (Watt) = 21.997079

Cumulative DRAM Energy_0 (Joules) = 1.642639
Cumulative DRAM Energy_0 (mWh) = 0.456289
Average DRAM Power_0 (Watt) = 1.604456

Cumulative GT Energy_0 (Joules) = 4.944397
Cumulative GT Energy_0 (mWh) = 1.373444
Average GT Power_0 (Watt) = 4.829465
