System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:21:41:125, 180898945127788,    0.116,   22.000, 3900,  36.054,   4.173,   1.159,  29.754,   3.444,   0.957, 81,  0,   2.001,   0.232,   0.064,   4.763,   0.551,   0.153,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:41:249, 180899220189894,    0.240,   26.000, 3200,  36.941,   8.775,   2.437,  30.696,   7.268,   2.019, 97,  0,   1.695,   0.443,   0.123,   4.733,   1.141,   0.317,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:41:389, 180899529050160,    0.380,   27.000, 3900,  31.849,  13.230,   3.675,  25.820,  10.880,   3.022, 90,  0,   1.616,   0.669,   0.186,   4.849,   1.819,   0.505,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:41:492, 180899755435430,    0.483,   15.000, 3900,  29.169,  16.221,   4.506,  22.713,  13.208,   3.669, 82,  0,   1.556,   0.828,   0.230,   4.965,   2.328,   0.647,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:41:617, 180900031807232,    0.608,   16.000, 3900,  30.793,  20.075,   5.576,  24.510,  16.276,   4.521, 92,  0,   1.538,   1.021,   0.284,   4.981,   2.952,   0.820,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:41:733, 180900287876671,    0.724,   11.000, 3700,  24.108,  22.871,   6.353,  17.837,  18.345,   5.096, 97,  0,   1.303,   1.172,   0.326,   4.988,   3.530,   0.981,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:41:842, 180900529030733,    0.833,   14.000, 3900,  27.871,  25.915,   7.199,  21.687,  20.714,   5.754, 86,  0,   1.588,   1.345,   0.374,   4.992,   4.075,   1.132,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:41:966, 180900803462865,    0.957,    7.000, 2200,  21.179,  28.547,   7.930,  14.465,  22.511,   6.253, 78,  0,   1.456,   1.526,   0.424,   4.916,   4.686,   1.302,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:41:966, 180900805677261,    0.958,    8.000, 2200,  14.484,  28.562,   7.934,   8.155,  22.520,   6.255, 78,  0,   1.521,   1.528,   0.424,   4.930,   4.691,   1.303,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.958385
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 28.561768
Cumulative Processor Energy_0 (mWh) = 7.933824
Average Processor Power_0 (Watt) = 29.801989

Cumulative IA Energy_0 (Joules) = 22.519531
Cumulative IA Energy_0 (mWh) = 6.255425
Average IA Power_0 (Watt) = 23.497384

Cumulative DRAM Energy_0 (Joules) = 1.527893
Cumulative DRAM Energy_0 (mWh) = 0.424415
Average DRAM Power_0 (Watt) = 1.594238

Cumulative GT Energy_0 (Joules) = 4.691284
Cumulative GT Energy_0 (mWh) = 1.303134
Average GT Power_0 (Watt) = 4.894991
