System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:21:43:154, 180903425897429,    0.141,   18.000, 3900,  28.726,   4.045,   1.124,  23.172,   3.263,   0.906, 78,  0,   1.710,   0.241,   0.067,   4.011,   0.565,   0.157,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:43:257, 180903652914761,    0.244,   11.000, 3900,  23.047,   6.414,   1.782,  17.806,   5.093,   1.415, 78,  0,   1.338,   0.378,   0.105,   3.948,   0.971,   0.270,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:43:364, 180903889460449,    0.351,   14.000, 3900,  28.058,   9.420,   2.617,  22.892,   7.546,   2.096, 76,  0,   1.586,   0.548,   0.152,   3.508,   1.346,   0.374,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:43:472, 180904126775745,    0.458,   18.000, 3900,  29.760,  12.619,   3.505,  24.752,  10.206,   2.835, 80,  0,   1.701,   0.731,   0.203,   3.531,   1.726,   0.479,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:43:590, 180904388448649,    0.577,   17.000, 3900,  26.952,  15.813,   4.392,  22.276,  12.846,   3.568, 95,  0,   1.421,   0.900,   0.250,   3.526,   2.144,   0.596,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:43:716, 180904665460562,    0.702,   17.000, 3600,  26.586,  19.148,   5.319,  21.241,  15.511,   4.309, 96,  0,   1.319,   1.065,   0.296,   3.932,   2.637,   0.733,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:43:848, 180904956741773,    0.834,   11.000, 3900,  23.100,  22.196,   6.165,  17.217,  17.782,   4.939, 77,  0,   1.367,   1.245,   0.346,   4.562,   3.239,   0.900,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:43:957, 180905199136769,    0.944,   11.000, 3900,  22.726,  24.691,   6.858,  16.754,  19.621,   5.450, 78,  0,   1.661,   1.428,   0.397,   4.756,   3.761,   1.045,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:21:43:958, 180905201424459,    0.945,   12.000, 3900,  24.978,  24.716,   6.866,  24.388,  19.647,   5.457, 77,  0,   1.708,   1.430,   0.397,   4.831,   3.766,   1.046,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.944935
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 24.716431
Cumulative Processor Energy_0 (mWh) = 6.865675
Average Processor Power_0 (Watt) = 26.156754

Cumulative IA Energy_0 (Joules) = 19.646606
Cumulative IA Energy_0 (mWh) = 5.457391
Average IA Power_0 (Watt) = 20.791491

Cumulative DRAM Energy_0 (Joules) = 1.429565
Cumulative DRAM Energy_0 (mWh) = 0.397102
Average DRAM Power_0 (Watt) = 1.512872

Cumulative GT Energy_0 (Joules) = 3.766113
Cumulative GT Energy_0 (mWh) = 1.046143
Average GT Power_0 (Watt) = 3.985580
