System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
05:54:32:065, 169353143197537,    0.102,   21.000, 3900,  32.819,   3.347,   0.930,  26.633,   2.716,   0.754, 95,  0,   1.982,   0.202,   0.056,   4.799,   0.489,   0.136,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:32:181, 169353398035512,    0.217,   29.000, 3300,  39.937,   7.956,   2.210,  33.123,   6.539,   1.816, 98,  0,   2.384,   0.477,   0.133,   5.160,   1.085,   0.301,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:32:295, 169353649112000,    0.331,   30.000, 3300,  36.958,  12.159,   3.377,  30.288,   9.983,   2.773, 94,  0,   2.493,   0.761,   0.211,   5.005,   1.654,   0.459,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:32:414, 169353912861760,    0.451,   28.000, 3900,  32.262,  16.012,   4.448,  25.739,  13.058,   3.627, 88,  0,   2.267,   1.032,   0.287,   4.812,   2.229,   0.619,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:32:524, 169354155466681,    0.560,   28.000, 3900,  35.967,  19.964,   5.546,  29.865,  16.339,   4.539, 95,  0,   2.325,   1.287,   0.357,   4.887,   2.766,   0.768,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:32:633, 169354395217710,    0.669,   29.000, 3800,  39.368,  24.239,   6.733,  32.648,  19.884,   5.523, 93,  0,   2.426,   1.550,   0.431,   4.906,   3.298,   0.916,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:32:753, 169354660720337,    0.789,   30.000, 3900,  39.670,  29.009,   8.058,  33.319,  23.890,   6.636, 94,  0,   2.361,   1.834,   0.510,   4.853,   3.882,   1.078,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:32:865, 169354908872034,    0.902,   29.000, 3900,  39.095,  33.403,   9.279,  32.175,  27.506,   7.641, 87,  0,   2.412,   2.105,   0.585,   4.850,   4.427,   1.230,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:32:974, 169355148337624,    1.010,   25.000, 3900,  36.516,  37.363,  10.379,  30.352,  30.798,   8.555, 87,  0,   2.218,   2.346,   0.652,   4.838,   4.952,   1.375,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:33:087, 169355398636309,    1.123,   45.000, 2700,  42.164,  42.143,  11.706,  35.652,  34.840,   9.678, 97,  0,   2.562,   2.636,   0.732,   4.837,   5.500,   1.528,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:33:207, 169355662956147,    1.243,   46.000, 3200,  38.034,  46.696,  12.971,  31.261,  38.582,  10.717, 98,  0,   2.979,   2.993,   0.831,   4.879,   6.084,   1.690,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:33:328, 169355930695641,    1.364,   28.000, 3600,  38.781,  51.398,  14.277,  32.366,  42.507,  11.807, 97,  0,   2.358,   3.279,   0.911,   4.904,   6.679,   1.855,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:33:437, 169356171573762,    1.474,   29.000, 3500,  37.313,  55.469,  15.408,  30.737,  45.860,  12.739, 95,  0,   2.395,   3.540,   0.983,   4.918,   7.215,   2.004,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:33:544, 169356408390727,    1.581,   31.000, 3400,  38.628,  59.612,  16.559,  31.809,  49.271,  13.687,100,  0,   2.404,   3.798,   1.055,   4.938,   7.745,   2.151,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:33:679, 169356704802626,    1.715,   28.000, 3900,  37.228,  64.609,  17.947,  30.769,  53.402,  14.834, 95,  0,   2.434,   4.125,   1.146,   4.900,   8.403,   2.334,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:33:796, 169356964933129,    1.833,   30.000, 3900,  36.653,  68.928,  19.147,  30.133,  56.952,  15.820, 93,  0,   2.339,   4.400,   1.222,   4.849,   8.974,   2.493,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:33:914, 169357224341121,    1.950,   27.000, 3900,  39.348,  73.550,  20.431,  32.914,  60.819,  16.894, 86,  0,   2.360,   4.677,   1.299,   4.900,   9.550,   2.653,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:34:029, 169357478319795,    2.065,   27.000, 3200,  35.178,  77.597,  21.555,  28.788,  64.130,  17.814, 98,  0,   2.303,   4.942,   1.373,   4.855,  10.108,   2.808,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:34:144, 169357732064301,    2.180,   29.000, 3900,  35.513,  81.678,  22.688,  29.072,  67.471,  18.742, 96,  0,   2.457,   5.225,   1.451,   4.853,  10.666,   2.963,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:34:278, 169358028885235,    2.315,   37.000, 3900,  44.505,  87.661,  24.350,  37.506,  72.513,  20.143, 90,  0,   2.651,   5.581,   1.550,   5.066,  11.347,   3.152,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:34:386, 169358266406111,    2.422,   37.000, 3300,  39.329,  91.891,  25.525,  32.896,  76.052,  21.126, 94,  0,   2.619,   5.863,   1.629,   4.874,  11.871,   3.298,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:34:498, 169358515072305,    2.535,   29.000, 3300,  37.352,  96.098,  26.694,  30.724,  79.512,  22.087, 97,  0,   2.431,   6.137,   1.705,   4.895,  12.422,   3.451,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:34:612, 169358765501507,    2.648,   29.000, 3900,  39.509, 100.579,  27.939,  33.170,  83.274,  23.132, 92,  0,   2.391,   6.408,   1.780,   4.917,  12.980,   3.606,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:34:716, 169358994746677,    2.752,   27.000, 3900,  42.404, 104.982,  29.162,  35.717,  86.983,  24.162, 89,  0,   2.405,   6.658,   1.849,   4.962,  13.495,   3.749,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:34:828, 169359243553601,    2.865,   29.000, 3900,  40.988, 109.600,  30.445,  34.291,  90.847,  25.235, 93,  0,   2.401,   6.928,   1.925,   4.937,  14.052,   3.903,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
05:54:34:936, 169359482028163,    2.973,   27.000, 3900,  40.018, 113.922,  31.645,  33.459,  94.460,  26.239, 90,  0,   2.364,   7.184,   1.995,   4.917,  14.583,   4.051,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
