System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
06:49:59:775, 176700749860463,    0.107,   20.000, 3900,  32.563,   3.486,   0.968,  26.324,   2.818,   0.783, 83,  0,   2.092,   0.224,   0.062,   4.908,   0.525,   0.146,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:49:59:905, 176701037974917,    0.238,   23.000, 3900,  37.108,   8.328,   2.313,  30.131,   6.749,   1.875, 88,  0,   2.415,   0.539,   0.150,   5.023,   1.181,   0.328,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:50:00:022, 176701294817106,    0.354,   25.000, 3400,  36.583,  12.583,   3.495,  30.095,  10.250,   2.847, 99,  0,   2.449,   0.824,   0.229,   4.906,   1.752,   0.487,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:50:00:131, 176701537314672,    0.464,   25.000, 3900,  37.281,  16.677,   4.633,  30.810,  13.634,   3.787, 88,  0,   2.438,   1.092,   0.303,   4.863,   2.286,   0.635,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:50:00:244, 176701785348147,    0.576,   22.000, 3500,  36.132,  20.736,   5.760,  29.545,  16.953,   4.709, 99,  0,   2.371,   1.358,   0.377,   4.973,   2.844,   0.790,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:50:00:354, 176702028967121,    0.686,   20.000, 3900,  34.354,  24.527,   6.813,  27.412,  19.977,   5.549, 83,  0,   2.331,   1.615,   0.449,   5.180,   3.416,   0.949,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:50:00:465, 176702274983148,    0.798,   24.000, 3900,  36.763,  28.623,   7.951,  30.329,  23.357,   6.488, 92,  0,   2.319,   1.873,   0.520,   5.019,   3.975,   1.104,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:50:00:590, 176702548980279,    0.922,   25.000, 3900,  39.111,  33.476,   9.299,  32.365,  27.373,   7.604, 87,  0,   2.478,   2.181,   0.606,   5.003,   4.596,   1.277,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:50:00:700, 176702792282411,    1.032,   27.000, 3900,  39.674,  37.848,  10.513,  33.490,  31.063,   8.629, 94,  0,   2.552,   2.462,   0.684,   4.882,   5.134,   1.426,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
06:50:00:819, 176703056469791,    1.152,   24.000, 3900,  32.982,  41.794,  11.610,  26.146,  34.192,   9.498, 88,  0,   2.339,   2.742,   0.762,   4.884,   5.718,   1.588,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
